"# solar-sizing honest pro forma — proforma.py, 2026-06-25 01:15Z"
# data: DOC-SOURCED FIXTURES — no live API called
"# not a quote, not sizing advice; the note's first instruction is to walk the roof"
row,item,value,unit,note
1,Site,"40, -105 (doc example)","lat, lon",
2,Production source,monthly fixture (offline),,"auto: PVWatts if reachable, else PVGIS"
3,System size,4,kWp DC,4kW fixture
4,Planes (tilt/azimuth),4kW fixture,deg,"azimuth = compass; 90=E,180=S,270=W"
5,System losses,14,%,applied to both sources; includes ~3% generic shading
6,Shading derate — roof walk,0.85,x,walk the roof; satellites miss the 4pm tree
7,Specific yield (after derate),878,kWh/kWp/yr,monthly fixture (offline)
8,Year-1 generation,3512,kWh/yr,
9,Tariff,"Example Power & Light (fixture) — Residential TOU E-X (illustrative, NEM-3.0-era shape)",,
10,Tariff-weighted import rate,0.3213,$/kWh,weighted by WHEN the panels produce; first-tier rates
11,Export credit,0.05,$/kWh,set by you — URDB rarely encodes post-NEM-3.0 exports
12,Self-consumption ratio,0.55,x,napkin knob; replace with interval data for a lender
13,Self-consumed energy,1931,kWh/yr,$620/yr at the weighted import rate
14,Exported energy,1580,kWh/yr,$79/yr at the export credit
15,"Annual savings, year 1",699,$/yr,
16,Installed cost,12000,$,@ $3.00/Wp
17,Federal ITC (0%),-0,$,Section 25D ended 12/31/2025 for owned installs; default 0 (leases keep 48E to 2027)
18,State credit,-0,$,"e.g. NY 25% capped $5,000; set with --state-credit"
19,Net cost,12000,$,
20,Simple payback,17.2,yr,net cost / year-1 savings; no escalation on purpose
21,25-yr NPV @ 5%,-2596,$,"0.5%/yr degradation, flat tariff"
M1,Marginal next-kWp payback,68.3,yr,the next kWp earns ~$44/yr at the export credit — the number no configurator shows you
S1,Sensitivity — export credit,0.0000,$/kWh,"savings $620/yr, payback 19.3 yr"
S2,Sensitivity — export credit,0.0500,$/kWh,"savings $699/yr, payback 17.2 yr"
S3,Sensitivity — export credit,0.1000,$/kWh,"savings $778/yr, payback 15.4 yr"
S4,Sensitivity — export credit,0.3213,$/kWh,"savings $1128/yr, payback 10.6 yr"
